104/11/02,250313,2495233,10.05,10.1,9.9,9.97,-0.03,105
104/11/03,345307,3461290,10.05,10.1,9.98,10.05,0.08,123
104/11/04,236733,2373720,9.95,10.1,9.95,10.1,0.05,152
104/11/05,245813,2455900,10.05,10.05,9.92,10.05,-0.05,133
104/11/06,245039,2430457,10.05,10.05,9.78,9.98,-0.07,91
104/11/09,92158,911839,9.96,9.99,9.81,9.89,-0.09,66
104/11/10,197801,1922445,9.85,9.85,9.6,9.67,-0.22,114
104/11/11,691086,6411668,9.67,9.67,9.05,9.34,-0.33,242
104/11/12,363811,3380240,9.34,9.49,9.16,9.43,0.09,136
104/11/13,325251,3017953,9.42,9.42,9.12,9.28,-0.15,103
104/11/16,117624,1084502,9.2,9.41,9.13,9.2,-0.08,81
104/11/17,207315,1953279,9.3,9.68,9.3,9.45,0.25,118
104/11/18,158801,1481917,9.57,9.57,9.12,9.35,-0.1,97
104/11/19,213013,1985334,9.32,9.49,9.26,9.32,-0.03,142
104/11/20,180938,1671305,9.26,9.35,9.21,9.21,-0.11,73
104/11/23,204081,1882897,9.35,9.4,9.12,9.15,-0.06,97
104/11/24,152053,1386093,9.15,9.26,9.06,9.15,0,72
104/11/25,176805,1606029,9.23,9.23,9.02,9.14,-0.01,111
104/11/26,100182,916737,9.14,9.23,9.11,9.22,0.08,57
104/11/27,124354,1142439,9.22,9.35,9.1,9.21,-0.01,70
104/11/30,110155,998213,9.1,9.23,9,9.1,-0.11,61
104/12/01,103250,934973,9.21,9.21,8.95,9.13,0.03,73
104/12/02,93955,858126,9.1,9.21,9.06,9.13,0,70
104/12/03,101589,922605,9.19,9.19,9,9.14,0.01,75
104/12/04,196255,1800916,9.14,9.22,9.05,9.19,0.05,102
104/12/07,273243,2522025,9.26,9.33,9.15,9.18,-0.01,107
104/12/08,156013,1428596,9.18,9.24,9.05,9.18,0,55
104/12/09,319494,2882720,9.16,9.18,8.9,9.03,-0.15,110
104/12/10,46001,412779,9.13,9.13,8.89,8.98,-0.05,23
104/12/11,283659,2563881,8.99,9.14,8.93,9.05,0.07,123
104/12/14,79401,717179,9.08,9.08,8.99,9.03,-0.02,54
104/12/15,205255,1846597,9.12,9.13,8.91,9.13,0.1,102
104/12/16,58652,532658,9.2,9.2,9.02,9.05,-0.08,40
104/12/17,111349,1000784,9.1,9.1,8.95,9.02,-0.03,68
104/12/18,483304,4457279,9.35,9.42,9.04,9.08,0.06,216
104/12/21,171927,1564521,9,9.17,9,9.1,0.02,84
104/12/22,80979,735861,9.14,9.14,9.05,9.11,0.01,49
104/12/23,931479,8786084,9.1,9.74,9.05,9.4,0.29,391
104/12/24,797674,7629817,9.6,9.65,9.45,9.47,0.07,325
104/12/25,209426,1966570,9.56,9.57,9.3,9.4,-0.07,102
104/12/28,103522,965967,9.32,9.48,9.25,9.35,-0.05,74
104/12/29,53761,498762,9.36,9.37,9.25,9.25,-0.1,47
104/12/30,117753,1087239,9.33,9.35,9.19,9.22,-0.03,69
104/12/31,151833,1396019,9.3,9.3,9.16,9.22,0,63
105/01/04,25100,230609,9.27,9.27,9.16,9.2,-0.02,36
105/01/05,50975,468238,9.29,9.29,9.14,9.18,-0.02,37
105/01/06,102055,924999,9.11,9.19,9,9.1,-0.08,65
105/01/07,240331,2155679,9.1,9.1,8.93,9,-0.1,96
105/01/08,81415,730691,8.9,9,8.9,8.95,-0.05,54
105/01/11,56161,500428,8.87,8.97,8.85,8.94,-0.01,51
105/01/12,72465,644431,8.95,8.95,8.8,8.94,0,67
105/01/13,85004,754006,9,9,8.8,8.97,0.03,50
